escenario,estimando,valor,N
aleatorizacion_unica,ATE,.75,80000
aleatorizacion_unica,ATT,.7510136657155729,80000
aleatorizacion_unica,ATU,.7489886630375069,80000
aleatorizacion_unica,CATE_X0,1.25,80000
aleatorizacion_unica,CATE_X1,.25,80000
aleatorizacion_unica,COEF_REG_D,.7509886656815542,80000
aleatorizacion_unica,DESV_NAIVE_ATE,.0009886656825095,80000
aleatorizacion_unica,MEDIA_Y_D0,7.250012485641513,80000
aleatorizacion_unica,MEDIA_Y_D1,8.001001151324022,80000
aleatorizacion_unica,NAIVE,.7509886656825095,80000
aleatorizacion_unica,N_D0,40046,80000
aleatorizacion_unica,N_D1,39954,80000
aleatorizacion_unica,SESGO_ATT,-.0000250000330634,80000
datos_duplicados,ATE,.75,80000
datos_duplicados,ATT,.75,80000
datos_duplicados,ATU,.75,80000
datos_duplicados,CATE_X0,1.25,80000
datos_duplicados,CATE_X1,.25,80000
datos_duplicados,COEF_REG_D,6.75,80000
datos_duplicados,DESV_NAIVE_ATE,6,80000
datos_duplicados,MEDIA_Y_D0,4.25,80000
datos_duplicados,MEDIA_Y_D1,11,80000
datos_duplicados,NAIVE,6.75,80000
datos_duplicados,N_D0,40000,80000
datos_duplicados,N_D1,40000,80000
datos_duplicados,SESGO_ATT,6,80000
datos_originales,ATE,.75,8
datos_originales,ATT,.75,8
datos_originales,ATU,.75,8
datos_originales,CATE_X0,1.25,8
datos_originales,CATE_X1,.25,8
datos_originales,COEF_REG_D,6.750000000000001,8
datos_originales,DESV_NAIVE_ATE,6,8
datos_originales,MEDIA_Y_D0,4.25,8
datos_originales,MEDIA_Y_D1,11,8
datos_originales,NAIVE,6.75,8
datos_originales,N_D0,4,8
datos_originales,N_D1,4,8
datos_originales,SESGO_ATT,6,8
