escenario,comando,cantidad,valor_stata,ee,estadistico,p_valor,N,fuente
media_C0,sum,media,-.7633287819818942,,,,2000,08_DID.do
media_C1,sum,media,-.6903838710058772,,,,2000,08_DID.do
media_T0,sum,media,-.6629990038238466,,,,2000,08_DID.do
media_T1,sum,media,-.4084291770188902,,,,2000,08_DID.do
did_manual,segunda diferencia,DiD,.1816249158289393,,,,8000,08_DID.do
did_diff,"diff y, t(D) p(t)",DiD,.1816249158289038,.0514391153560501,,.0004165247866031,8000,08_DID.do
did_regresion,"reg y D##t, robust",DiD,.1816249158289702,.0514391153560504,,.0004165247866011,8000,08_DID.do
hospdd_atet,xtdidregress,ATET,.847987864317747,.0320137875297834,,4.34812257319e-29,7368,08_DID.do
ptrends,estat ptrends,F,.5550025683075025,,.5550025683075025,.4601541739554381,7368,08_DID.do
granger,estat granger,F,.3273872875338776,,.3273872875338776,.7225068984455126,7368,08_DID.do
